,ID1,ID2,Relation
0,capec1,capec122,ChildOf
1,capec17,capec1,CanFollow
2,capec10,capec100,ChildOf
3,capec100,capec123,ChildOf
4,capec101,capec253,ChildOf
5,capec600,capec101,CanFollow
6,capec102,capec593,ChildOf
7,capec103,capec173,ChildOf
8,capec104,capec233,ChildOf
9,capec105,capec220,ChildOf
10,capec34,capec105,PeerOf
11,capec115,capec105,CanFollow
12,capec141,capec105,CanFollow
13,capec63,capec105,CanFollow
14,capec593,capec105,CanFollow
15,capec148,capec105,CanFollow
16,capec154,capec105,CanFollow
17,capec107,capec593,ChildOf
18,capec108,capec66,ChildOf
19,capec109,capec66,ChildOf
20,capec11,capec635,ChildOf
21,capec110,capec66,ChildOf
22,capec108,capec110,CanFollow
23,capec111,capec212,ChildOf
24,capec163,capec116,CanFollow
25,capec21,capec12,PeerOf
26,capec12,capec216,ChildOf
27,capec120,capec267,ChildOf
28,capec121,capec113,ChildOf
29,capec664,capec122,CanFollow
30,capec126,capec153,ChildOf
31,capec664,capec126,CanFollow
32,capec127,capec54,ChildOf
33,capec128,capec153,ChildOf
34,capec13,capec77,ChildOf
35,capec14,capec13,CanFollow
36,capec10,capec13,PeerOf
37,capec132,capec159,ChildOf
38,capec133,capec113,ChildOf
39,capec134,capec137,ChildOf
40,capec135,capec137,ChildOf
41,capec136,capec248,ChildOf
42,capec138,capec137,ChildOf
43,capec139,capec126,ChildOf
44,capec14,capec100,ChildOf
45,capec140,capec74,ChildOf
46,capec141,capec161,ChildOf
47,capec142,capec141,ChildOf
48,capec89,capec142,CanFollow
49,capec143,capec150,ChildOf
50,capec144,capec150,ChildOf
51,capec145,capec148,ChildOf
52,capec146,capec271,ChildOf
53,capec147,capec528,ChildOf
54,capec149,capec497,ChildOf
55,capec155,capec149,CanFollow
56,capec15,capec137,ChildOf
57,capec150,capec116,ChildOf
58,capec155,capec150,ChildOf
59,capec157,capec117,ChildOf
60,capec652,capec157,CanFollow
61,capec158,capec157,ChildOf
62,capec159,capec154,ChildOf
63,capec185,capec159,CanFollow
64,capec16,capec49,ChildOf
65,capec600,capec16,CanFollow
66,capec151,capec16,CanFollow
67,capec560,capec16,CanFollow
68,capec561,capec16,CanFollow
69,capec653,capec16,CanFollow
70,capec160,capec113,ChildOf
71,capec664,capec161,CanFollow
72,capec162,capec77,ChildOf
73,capec163,capec98,ChildOf
74,capec164,capec98,ChildOf
75,capec166,capec161,ChildOf
76,capec167,capec188,ChildOf
77,capec168,capec636,ChildOf
78,capec17,capec122,ChildOf
79,capec233,capec17,CanFollow
80,capec170,capec541,ChildOf
81,capec174,capec182,ChildOf
82,capec63,capec174,CanFollow
83,capec178,capec174,CanFollow
84,capec177,capec17,ChildOf
85,capec178,capec182,ChildOf
86,capec179,capec554,ChildOf
87,capec18,capec591,ChildOf
88,capec18,capec592,ChildOf
89,capec18,capec588,ChildOf
90,capec180,capec122,ChildOf
91,capec17,capec180,CanFollow
92,capec181,capec103,ChildOf
93,capec182,capec137,ChildOf
94,capec183,capec248,ChildOf
95,capec185,capec184,ChildOf
96,capec662,capec185,CanFollow
97,capec186,capec184,ChildOf
98,capec186,capec98,CanFollow
99,capec187,capec186,ChildOf
100,capec189,capec188,ChildOf
101,capec19,capec242,ChildOf
102,capec190,capec167,ChildOf
103,capec191,capec167,ChildOf
104,capec193,capec253,ChildOf
105,capec194,capec151,ChildOf
106,capec657,capec194,CanFollow
107,capec667,capec194,CanFollow
108,capec195,capec151,ChildOf
109,capec384,capec196,CanFollow
110,capec61,capec196,CanFollow
111,capec196,capec21,ChildOf
112,capec197,capec230,ChildOf
113,capec198,capec591,ChildOf
114,capec198,capec592,ChildOf
115,capec198,capec588,ChildOf
116,capec199,capec591,ChildOf
117,capec199,capec592,ChildOf
118,capec199,capec588,ChildOf
119,capec2,capec212,ChildOf
120,capec20,capec112,ChildOf
121,capec668,capec20,CanFollow
122,capec200,capec207,ChildOf
123,capec201,capec122,ChildOf
124,capec201,capec278,ChildOf
125,capec202,capec22,ChildOf
126,capec203,capec176,ChildOf
127,capec204,capec167,ChildOf
128,capec560,capec204,CanFollow
129,capec206,capec444,ChildOf
130,capec207,capec22,ChildOf
131,capec208,capec207,ChildOf
132,capec209,capec592,ChildOf
133,capec215,capec54,ChildOf
134,capec215,capec28,ChildOf
135,capec94,capec216,CanFollow
136,capec217,capec216,ChildOf
137,capec218,capec148,ChildOf
138,capec219,capec94,ChildOf
139,capec220,capec272,ChildOf
140,capec221,capec231,ChildOf
141,capec221,capec278,ChildOf
142,capec222,capec103,ChildOf
143,capec226,capec196,ChildOf
144,capec228,capec250,ChildOf
145,capec197,capec228,CanFollow
146,capec491,capec228,CanFollow
147,capec229,capec231,ChildOf
148,capec23,capec242,ChildOf
149,capec230,capec130,ChildOf
150,capec231,capec130,ChildOf
151,capec234,capec233,ChildOf
152,capec234,capec242,CanFollow
153,capec234,capec175,CanFollow
154,capec234,capec100,CanFollow
155,capec237,capec480,ChildOf
156,capec24,capec100,ChildOf
157,capec243,capec591,ChildOf
158,capec243,capec592,ChildOf
159,capec243,capec588,ChildOf
160,capec244,capec591,ChildOf
161,capec244,capec592,ChildOf
162,capec244,capec588,ChildOf
163,capec245,capec591,ChildOf
164,capec245,capec592,ChildOf
165,capec245,capec588,ChildOf
166,capec247,capec591,ChildOf
167,capec247,capec592,ChildOf
